NAME_EN,ISO_A3_EH,mean_cf_onshore_wind,mean_cf_pv
Fiji,FJI,0.19046223163604736,0.1589625
Tanzania,TZA,0.11890247464179993,0.18777916666666666
Western Sahara,ESH,0.5310784578323364,
Canada,CAN,0.3344053626060486,0.15897916666666667
United States of America,USA,0.30205801129341125,0.18159999999999998
Kazakhstan,KAZ,0.3761466443538666,0.1535416666666667
Uzbekistan,UZB,0.338908314704895,0.17786666666666665
Papua New Guinea,PNG,0.055564604699611664,0.15382916666666666
Indonesia,IDN,0.04412512481212616,0.15697499999999998
Argentina,ARG,0.3578962981700897,0.19163333333333332
Chile,CHL,0.33396095037460327,0.22352916666666667
Democratic Republic of the Congo,COD,0.03815789148211479,0.17731666666666668
Somalia,SOM,0.3360142409801483,0.1984041666666667
Kenya,KEN,0.20527413487434387,0.18767499999999998
Sudan,SDN,0.3677677512168884,0.20596666666666666
Chad,TCD,0.3471127152442932,0.2015583333333333
Haiti,HTI,0.1588977426290512,0.19485833333333333
Dominican Republic,DOM,0.16041381657123566,0.19040833333333332
Russia,RUS,0.27835026383399963,0.13979999999999998
The Bahamas,BHS,0.2463541477918625,0.18950416666666667
Falkland Islands,FLK,0.6613203883171082,
Norway,NOR,0.3550988435745239,0.11505000000000001
Greenland,GRL,0.5896284580230713,
French Southern and Antarctic Lands,ATF,,
East Timor,TLS,0.11611486971378326,0.18079583333333335
South Africa,ZAF,0.231427401304245,0.20848333333333333
Lesotho,LSO,0.2141861617565155,0.21395416666666667
Mexico,MEX,0.14257284998893738,0.20517083333333336
Uruguay,URY,0.3697899878025055,0.17934583333333332
Brazil,BRA,0.10847658663988113,0.18350833333333336
Bolivia,BOL,0.14419247210025787,0.20592083333333333
Peru,PER,0.0541953407227993,0.20420833333333333
Colombia,COL,0.056468185037374496,0.16871666666666665
Panama,PAN,0.11576411873102188,0.16522916666666668
Costa Rica,CRI,0.11481377482414246,0.17054166666666665
Nicaragua,NIC,0.1837637722492218,0.17118750000000002
Honduras,HND,0.11714570969343185,0.17762083333333334
El Salvador,SLV,0.11324131488800049,0.20113333333333336
Guatemala,GTM,0.0883590430021286,0.1827291666666667
Belize,BLZ,0.08421659469604492,0.17403333333333332
Venezuela,VEN,0.11310670524835587,0.1814375
Guyana,GUY,0.057916995137929916,0.17482916666666667
Suriname,SUR,0.051223088055849075,0.177875
France,FRA,0.2871887981891632,0.1410875
Ecuador,ECU,0.052793052047491074,0.14172916666666666
Puerto Rico,PRI,0.16852213442325592,0.18318333333333334
Jamaica,JAM,0.17361818253993988,0.18274166666666664
Cuba,CUB,0.21710050106048584,0.18920416666666667
Zimbabwe,ZWE,0.15265943109989166,0.20254583333333337
Botswana,BWA,0.21009857952594757,0.21278750000000002
Namibia,NAM,0.21852616965770721,0.22412916666666666
Senegal,SEN,0.21664837002754211,0.19097916666666667
Mali,MLI,0.3249380588531494,0.19484583333333333
Mauritania,MRT,0.4527193605899811,0.1978791666666667
Benin,BEN,0.12749919295310974,0.17490833333333333
Niger,NER,0.3393247723579407,0.20154166666666665
Nigeria,NGA,0.15356262028217316,0.17907083333333332
Cameroon,CMR,0.055624570697546005,0.1782125
Togo,TGO,0.10368818044662476,0.17184583333333334
Ghana,GHA,0.10054977238178253,0.1675125
Ivory Coast,CIV,0.09059663116931915,0.1666625
Guinea,GIN,0.07734434306621552,0.18489166666666668
Guinea-Bissau,GNB,0.11898273974657059,0.18573333333333333
Liberia,LBR,0.04732194170355797,0.16180416666666667
Sierra Leone,SLE,0.06253305077552795,0.17025833333333332
Burkina Faso,BFA,0.2023065835237503,0.19042083333333334
Central African Republic,CAF,0.06282687187194824,0.18610833333333332
Republic of the Congo,COG,0.037210527807474136,0.15695416666666667
Gabon,GAB,0.029720885679125786,0.15009999999999998
Equatorial Guinea,GNQ,0.027082839980721474,0.15279583333333335
Zambia,ZMB,0.12746301293373108,0.20117083333333333
Malawi,MWI,0.1764558106660843,0.19169166666666668
Mozambique,MOZ,0.13356950879096985,0.18479166666666666
Eswatini,SWZ,0.18192876875400543,0.17994166666666667
Angola,AGO,0.0935996025800705,0.19410833333333333
Burundi,BDI,0.05616014450788498,0.17384583333333334
Israel,ISR,0.18618769943714142,0.2115125
Lebanon,LBN,0.15917770564556122,0.2013125
Madagascar,MDG,0.18617939949035645,0.19824583333333334
Palestine,PSE,0.18764688074588776,0.20561666666666667
The Gambia,GMB,0.18127749860286713,0.190375
Tunisia,TUN,0.34893590211868286,0.19768750000000002
Algeria,DZA,0.37119364738464355,0.20486249999999998
Jordan,JOR,0.28518009185791016,0.22145833333333334
United Arab Emirates,ARE,0.25809162855148315,0.2085125
Qatar,QAT,0.3213732838630676,0.20489166666666667
Kuwait,KWT,0.42902109026908875,0.20064583333333333
Iraq,IRQ,0.31840360164642334,0.19492916666666668
Oman,OMN,0.296901673078537,0.21534583333333335
Vanuatu,VUT,0.15525700151920319,0.14710416666666665
Cambodia,KHM,0.11181540042161942,0.171875
Thailand,THA,0.13006119430065155,0.16935833333333336
Laos,LAO,0.12973497807979584,0.1612875
Myanmar,MMR,0.07959744334220886,0.1725583333333333
Vietnam,VNM,0.15978951752185822,0.1481
North Korea,PRK,0.2039477527141571,0.16315833333333335
South Korea,KOR,0.20961393415927887,0.1590125
Mongolia,MNG,0.30194786190986633,0.19822083333333332
India,IND,0.13783316314220428,0.18008333333333332
Bangladesh,BGD,0.12775805592536926,0.16169166666666665
Bhutan,BTN,0.045278385281562805,0.16315833333333335
Nepal,NPL,0.0715087279677391,0.1665
Pakistan,PAK,0.17379234731197357,0.19635833333333333
Afghanistan,AFG,0.2114941030740738,0.20899583333333333
Tajikistan,TJK,0.1701556295156479,0.18085833333333334
Kyrgyzstan,KGZ,0.15010617673397064,0.17145416666666663
Turkmenistan,TKM,0.35806939005851746,0.18199166666666666
Iran,IRN,0.2277013063430786,0.20482916666666667
Syria,SYR,0.29610660672187805,0.20225833333333332
Armenia,ARM,0.14758720993995667,0.17109583333333334
Sweden,SWE,0.30013105273246765,0.11822083333333332
Belarus,BLR,0.33137813210487366,0.12285416666666668
Ukraine,UKR,0.3384576141834259,0.13734166666666664
Poland,POL,0.34988129138946533,0.12435
Austria,AUT,0.22039806842803955,0.13571249999999999
Hungary,HUN,0.2575591206550598,0.14334166666666667
Moldova,MDA,0.30245697498321533,0.14372083333333333
Romania,ROU,0.2049286961555481,0.14681666666666668
Lithuania,LTU,0.3762788474559784,0.11959999999999998
Latvia,LVA,0.3593690097332001,0.11887916666666666
Estonia,EST,0.3584461808204651,0.11820416666666667
Germany,DEU,0.337089866399765,0.12336666666666667
Bulgaria,BGR,0.18603424727916718,0.15428333333333333
Greece,GRC,0.18556265532970428,0.172625
Turkey,TUR,0.17911632359027863,0.18013333333333334
Albania,ALB,0.1810634583234787,0.16844166666666666
Croatia,HRV,0.20751670002937317,0.151275
Switzerland,CHE,0.18546655774116516,0.1401625
Luxembourg,LUX,0.32155755162239075,0.12282499999999999
Belgium,BEL,0.38627496361732483,0.12151666666666665
Netherlands,NLD,0.46092361211776733,0.11936250000000001
Portugal,PRT,0.2453601360321045,0.17981250000000001
Spain,ESP,0.2276940792798996,0.1838625
Ireland,IRL,0.51651930809021,0.10469166666666666
New Caledonia,NCL,0.25686442852020264,0.16568333333333332
Solomon Islands,SLB,0.10734673589468002,0.153725
